1520	51191	112	1
1527	4384	18	1
1541	5056	27	1
1574	60089	345	1
1575	374033	1059	2
1576	26278	81	1
1581	32983	107	1
1584	382341	926	1
1586	199627	512	1
1588	24106	60	1
1592	253381	816	6
1593	13785	80	1
1596	7396	57	1
1602	3389	26	1
1603	178263	872	1
1604	5257	31	1
1608	4387	26	1
1611	45897	226	1
1612	39674	107	2
1613	10438	24	1
1614	13918	120	1
1618	57343	157	2
1620	82498	334	2
1621	6186	27	1
1627	9062	36	1
1630	73194	309	1
1631	464439	952	1
1632	42700	149	1
1634	94412	261	2
1635	204307	527	2
1637	383892	527	1
1638	118459	362	2
1639	28050	99	1
1640	52575	193	2
1641	8968	44	1
1642	286984	675	2
1643	5421	27	1
1644	571271	1329	2
1647	253866	768	2
1648	381349	964	2
1649	188596	642	3
1651	548829	1140	2
1653	46578	264	1
1654	15651	72	1
1658	87266	494	3
1659	13133	75	1
1660	662946	1866	6
1661	56308	187	1
1663	300751	943	5
1664	139498	446	2
1665	130399	600	5
1666	326087	916	4
1667	441436	1221	3
1668	287048	839	2
1669	240636	566	2
1670	576129	1357	3
1671	226824	562	1
1672	42421	172	2
1673	453085	1063	3
1674	714572	1184	2
1675	571711	1334	4
1676	242153	1036	3
1677	289370	1138	4
1678	77403	404	3
1679	118022	450	1
1680	189580	596	6
1681	411439	1042	4
1682	1279529	2882	5
1683	904801	2281	13
1684	284963	957	6
1685	659260	1122	7
1686	311835	1033	6
1687	118474	374	5
1688	397651	1178	5
1689	281868	895	8
1690	148003	597	2
1692	151969	443	1
1693	244825	950	5
1694	628400	1873	7
1695	206607	1002	4
1696	81528	258	5
1697	377253	743	3
1698	657085	2498	6
1699	641077	2519	13
1700	1153897	2763	7
1701	1245758	4746	18
1702	1135237	3941	28
1703	1744199	5169	18
1704	733896	3163	25
1705	1628994	5413	26
1706	903010	3274	19
1707	1037580	3498	20
1708	1220488	4110	21
1709	330642	1486	14
1710	1652915	4459	25
1711	1474592	4346	29
1712	340381	1263	10
1713	857344	3518	26
1714	1867253	6487	41
1715	1209982	4496	32
1716	774667	2895	31
1717	1221962	4879	43
1718	1523660	6085	34
1719	1917245	5690	50
1720	2018336	8365	50
1721	1603244	6124	38
1722	1478674	5921	39
1723	1387149	5546	38
1724	1750154	7035	33
1725	2126981	8760	48
1726	3431018	14872	59
1727	4242627	15334	67
1728	3585450	12846	63
1729	4096929	14437	64
1730	3902423	13881	74
1731	4383686	12962	71
1732	3794253	13473	69
1733	1385151	5703	58
1734	2914327	10750	57
1735	2930115	10395	55
1736	1885155	7030	48
1737	2631826	10374	54
1738	3265791	11722	66
1739	7381586	24037	111
1740	3398351	12553	67
1741	2559437	8716	63
1742	3914334	13493	72
1743	4173104	15982	89
1744	4942058	17946	95
1745	4246788	13859	105
1746	2215148	8730	81
1747	12963403	33672	112
1748	4461833	15193	68
1749	6000935	22310	108
1750	8442063	25594	117
1751	6553056	21840	114
1752	5417290	19699	99
1753	8621705	29478	133
1754	9137358	33244	117
1755	8900726	32676	148
1756	3461051	13368	92
1757	8153916	29106	124
1758	8066382	26529	110
1759	10340246	32732	121
1760	7288188	27535	117
1761	4954590	16769	89
1762	3734139	14217	68
1763	5206852	17628	82
1764	5968110	22133	106
1765	4983976	20045	91
1766	9469028	33947	126
1767	9065472	30247	106
1768	12090328	47172	157
1769	8763733	32200	128
1770	11803114	42384	152
1771	9697669	36754	117
1772	9485447	38166	125
1773	8469966	32233	118
1774	9376261	35106	146
1775	9261249	35261	143
1776	10685984	40763	170
1777	12267408	48553	173
1778	7839880	29403	108
1779	9285681	36590	134
1780	9386867	34488	132
1781	9374119	40012	139
1782	8848879	35324	124
1783	10834372	42865	141
1784	13400540	51442	166
1785	12983141	52500	177
1786	12553475	48473	161
1787	23473819	84723	249
1788	25407838	95588	277
1789	20171576	82964	248
1790	23166790	88083	280
1791	22503937	80939	250
1792	24480417	96786	306
1793	23852494	92055	324
1794	24299532	92020	286
1795	25502787	85797	276
1796	27093466	106701	325
1797	20755015	80048	267
1798	21341208	81978	305
1799	27628567	104163	325
1800	43674267	160580	435
1801	66186903	230992	611
1802	49298867	161324	455
1803	68531984	233147	607
1804	85099750	288674	765
1805	72859098	252890	682
1806	91093386	313331	831
1807	90998078	305314	815
1808	107618423	340630	922
1809	107539499	324080	884
1810	113677334	357565	960
1811	135111979	418205	1081
1812	129048143	364283	940
1813	104284002	312732	816
1814	121623854	374310	975
1815	119318930	362043	962
1816	137033664	402207	1054
1817	141570045	419946	1131
